"","Gene","Marker_ID","Gene_ID","b1","b1_p","bonf_p","eChr","ePos","Probe","mChr","mPos","strand","dist"
"2","A2M",78442,3669,-11.472,1.64e-12,1.47950796e-06,12,9220303,"cg08300930",12,9265989,-1,-45686
"3","A2M",78443,3669,-4.725,1.97e-10,0.000177721383,12,9220303,"cg12058490",12,9268379,-1,-48076
"4","A2M",78444,3669,-3.659,5.1e-10,0.00046009089,12,9220303,"cg00134295",12,9269178,-1,-48875
"23","A4GNT",246366,11949,-7.364,4.09e-08,0.0368974851,3,137842559,"cg14775286",3,137833494,-1,9065
"179","AACS",92528,4458,-10.059,6.43e-09,0.00580075377,12,125549924,"cg03013422",12,125550350,1,426
"197","AACS",92537,4458,-2.231,2.04e-12,1.84036356e-06,12,125549924,"cg02591564",12,125578355,1,28431
"198","AACS",92538,4458,-2.26,1.34e-10,0.000120886626,12,125549924,"cg01392656",12,125578483,1,28559
"199","AACS",92539,4458,-2.17,8.29e-09,0.00747873231,12,125549924,"cg00417147",12,125578545,1,28621
"637","AARS2",301255,14176,-28.525,5.94e-12,5.35870566e-06,6,44266462,"cg02172915",6,44211962,-1,54500
"713","AARS2",301321,14176,-14.136,8.03e-11,7.24417617e-05,6,44266462,"cg00115567",6,44279361,-1,-12899
"1035","AATK",162916,7550,-3.109,5.29e-09,0.00477231531,17,79091095,"cg00555905",17,79140481,-1,-49386
"1037","AATK",162917,7550,-2.859,7.21e-09,0.00650442219,17,79091095,"cg09142578",17,79140486,-1,-49391
"1342","ABCA3",129530,5911,7.686,2.02e-09,0.00182232078,16,2325878,"cg08301299",16,2317849,-1,8029
"2301","ABCC11",134945,6230,-5.211,9.45e-10,0.000852521355,16,48200821,"cg25274975",16,48269105,-1,-68284
"3502","ABHD1",193144,9213,-4.511,9.93e-10,0.000895824027,2,27346656,"cg05505545",2,27312716,1,-33940
"3867","ABHD14B",239650,11609,-3.046,9.85e-09,0.00888606915,3,52002525,"cg16159313",3,52018129,-1,-15604
"4189","ABHD6",240656,11666,-5.091,4.46e-10,0.000402353994,3,58223258,"cg27143326",3,58227354,1,4096
"4747","ABR",143784,6562,4.508,4.9e-09,0.0044204811,17,906757,"cg05825400",17,982115,-1,-75358
"5035","ACACB",88814,4301,-3.524,2e-10,0.0001804278,12,109577201,"cg00806900",12,109589392,1,12191
"5037","ACACB",88771,4301,-4.291,2.21e-12,1.99372719e-06,12,109577201,"cg00364557",12,109524566,1,-52635
"5038","ACACB",88769,4301,-2.672,4.92e-08,0.0443852388,12,109577201,"cg03124318",12,109491989,1,-85212
